player_id,player_name,player_nickname,birth_date,player_gender,player_height,player_weight,jersey_number,positions,stats,country,formations,events
7390,Barnabás Bese,,1994-05-06,male,188.0,84.0,33,[],[],Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
7977,João Aniceto Grandela Nunes,João Nunes,1995-11-19,male,186.0,78.0,30,"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Portugal,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
10837,Matija Ljujić,,1993-10-28,male,183.0,75.0,88,"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Serbia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
11268,Attila Fiola,,1990-02-17,male,182.0,70.0,55,"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00:00.000', 'to': '01:20:43.516', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Red Card'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
18879,Arijan Ademi,,1991-05-29,male,185.0,79.0,8,[],[],North Macedonia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
27815,Patrizio Stronati,,1994-11-17,male,190.0,86.0,94,"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00:00.000', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Czech Republic,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
28763,Giorgi Beridze,,1997-05-12,male,174.0,71.0,7,"[{'position_id': 12, 'position': 'Right Midfield', 'from': '01:29:56.751', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle', 'counterpart_id': 101803, 'counterpart_name': 'Aljoša Matko'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Georgia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
38335,Riccardo Piscitelli,,1993-10-10,male,188.0,84.0,1,[],[],Italy,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
40039,Krisztofer Horváth,,2002-01-08,male,185.0,65.0,11,"[{'position_id': 24, 'position': 'Left Center Forward', 'from': '00:00:00.000', 'to': '00:57:53.694', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)', 'counterpart_id': 130597, 'counterpart_name': 'Fran Brodić'}]","{'own_goals': 0, 'goals': 0, 'assists': 0, 'penalties_scored': 0, 'penalties_missed': 0, 'penalties_saved': 0}",Hungary,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
46812,Davit Kobouri,,1998-01-24,male,188.0,78.0,5,[],[],Georgia,"[{'period': 1, 'timestamp': '00:00:00.000', 'reason': 'Starting XI', 'formation': 442}, {'period': 2, 'timestamp': '01:23:16.138', 'reason': 'Tactical Shift', 'formation': 4411}]","[{'period': 1, 'timestamp': '00:00:00.000', 'type': 'Half Start'}, {'period': 1, 'timestamp': '00:46:02.672', 'type': 'Half End'}, {'period': 2, 'timestamp': '00:45:00.000', 'type': 'Half Start'}, {'player_id': 10837, 'player_name': 'Matija Ljujić', 'period': 2, 'timestamp': '00:59:22.498', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 446356, 'player_name': 'Ábel György Krajcsovics', 'period': 2, 'timestamp': '01:06:50.486', 'type': 'Bad Behaviour', 'outcome': 'Yellow Card'}, {'player_id': 247192, 'player_name': 'Gergő János Bodnár', 'period': 2, 'timestamp': '01:10:46.075', 'type': 'Foul Committed', 'outcome': 'Yellow Card'}, {'player_id': 11268, 'player_name': 'Attila Fiola', 'period': 2, 'timestamp': '01:20:43.516', 'type': 'Bad Behaviour', 'outcome': 'Red Card'}, {'period': 2, 'timestamp': '01:36:02.143', 'type': 'Half End'}]"
